step,wr_random,wr_regles,metric,wr_random_pool,wr_regles_pool,metric_pool,wr_pos_1,wr_pos_2,wr_pos_3,wr_pos_4,wr_pos_5,elapsed
500000,88.0000,76.0000,79.0000,83.0000,59.4444,65.3333,71.4286,66.0714,76.7857,60.7143,64.2857,2270.92
1000000,86.0000,73.0000,76.2500,86.0000,62.7778,68.5833,73.2143,67.8571,80.3571,69.6429,64.2857,4534.46
1500000,88.0000,73.0000,76.7500,88.0000,69.4444,74.0833,80.3571,69.6429,83.9286,73.2143,73.2143,6775.29
2000000,84.0000,27.0000,41.2500,90.0000,61.1111,68.3333,80.3571,71.4286,71.4286,69.6429,64.2857,9020.94
2500000,84.0000,72.0000,75.0000,91.0000,61.6667,69.0000,82.1429,66.0714,66.0714,71.4286,75.0000,11272.75
3000000,88.0000,53.0000,61.7500,88.0000,69.4444,74.0833,75.0000,83.9286,85.7143,69.6429,66.0714,13530.56
3500000,78.0000,62.0000,66.0000,85.0000,58.8889,65.4167,75.0000,62.5000,58.9286,69.6429,75.0000,15764.05
4000000,86.0000,69.0000,73.2500,87.0000,66.6667,71.7500,82.1429,75.0000,73.2143,67.8571,71.4286,18002.52
4500000,90.0000,34.0000,48.0000,86.0000,68.8889,73.1667,75.0000,75.0000,78.5714,69.6429,76.7857,20254.93
5000000,78.0000,74.0000,75.0000,88.0000,66.6667,72.0000,66.0714,75.0000,78.5714,75.0000,76.7857,22540.21
5500000,80.0000,71.0000,73.2500,87.0000,63.8889,69.6667,69.6429,69.6429,80.3571,71.4286,69.6429,24822.77
6000000,76.0000,75.0000,75.2500,87.0000,70.0000,74.2500,82.1429,76.7857,71.4286,71.4286,78.5714,27099.87
6500000,80.0000,72.0000,74.0000,85.0000,68.3333,72.5000,76.7857,71.4286,73.2143,76.7857,73.2143,29411.12
7000000,76.0000,73.0000,73.7500,91.0000,63.3333,70.2500,76.7857,75.0000,69.6429,71.4286,73.2143,31706.36
7500000,80.0000,79.0000,79.2500,85.0000,68.8889,72.9167,76.7857,71.4286,73.2143,75.0000,76.7857,33988.94
8000000,74.0000,73.0000,73.2500,93.0000,67.2222,73.6667,73.2143,80.3571,73.2143,76.7857,78.5714,36273.94
8500000,86.0000,76.0000,78.5000,86.0000,71.6667,75.2500,76.7857,67.8571,82.1429,75.0000,82.1429,38565.62
9000000,86.0000,75.0000,77.7500,89.0000,70.5556,75.1667,76.7857,80.3571,73.2143,75.0000,80.3571,40864.23
9500000,84.0000,68.0000,72.0000,92.0000,68.8889,74.6667,78.5714,76.7857,78.5714,76.7857,75.0000,43154.38
10000000,82.0000,82.0000,82.0000,88.0000,65.5556,71.1667,78.5714,64.2857,76.7857,67.8571,80.3571,45453.43
10500000,76.0000,77.0000,76.7500,87.0000,67.7778,72.5833,75.0000,75.0000,78.5714,64.2857,80.3571,47732.90
11000000,86.0000,71.0000,74.7500,92.0000,68.8889,74.6667,82.1429,75.0000,82.1429,71.4286,75.0000,50027.77
11500000,82.0000,72.0000,74.5000,91.0000,71.1111,76.0833,75.0000,80.3571,83.9286,69.6429,82.1429,52315.40
12000000,88.0000,77.0000,79.7500,92.0000,70.0000,75.5000,76.7857,71.4286,82.1429,82.1429,76.7857,54593.68
