step,wr_random,wr_regles,metric,wr_conservador,wr_agressiu,wr_truc_bot,wr_envit_bot,wr_faroler,wr_equilibrat,wr_pool_mean,std_pool,metric_robust,wr_vs_self,exploit_selfplay,sl_loss,wr_vs_sl,exploit_vs_sl,eta_actual,n_snapshots,elapsed,calib_envit,calib_truc,nash_valid,evals_sense_millora
500000,86.0000,78.0000,80.0000,70.0000,75.0000,75.0000,65.0000,60.0000,85.0000,71.6667,7.9931,67.6701,nan,nan,2.1856,63.3333,13.3333,0.5000,0,141.68,69.1578,55.1990,0,0
1000000,82.0000,83.0000,82.7500,75.0000,70.0000,75.0000,75.0000,60.0000,75.0000,71.6667,5.5277,68.9028,50.0000,0.0000,2.2569,53.3333,3.3333,0.5000,1,285.64,61.2100,67.6508,0,0
1500000,82.0000,76.0000,77.5000,65.0000,60.0000,65.0000,65.0000,65.0000,85.0000,67.5000,8.0364,63.4818,40.0000,10.0000,2.2803,55.0000,5.0000,0.5000,1,429.15,53.0249,68.5494,0,0
2000000,92.0000,75.0000,79.2500,65.0000,60.0000,70.0000,75.0000,45.0000,85.0000,66.6667,12.4722,60.4306,55.0000,5.0000,2.2797,56.6667,6.6667,0.5000,2,573.65,28.5884,60.9756,0,0
2500000,94.0000,87.0000,88.7500,85.0000,50.0000,65.0000,65.0000,65.0000,70.0000,66.6667,10.2740,61.5297,60.0000,10.0000,2.2785,43.3333,6.6667,0.5000,2,717.99,43.6536,41.9769,0,0
3000000,82.0000,77.0000,78.2500,75.0000,65.0000,80.0000,65.0000,55.0000,90.0000,71.6667,11.4261,65.9536,56.6667,6.6667,2.2825,56.6667,6.6667,0.5000,3,862.82,16.4887,45.0578,0,0
3500000,86.0000,81.0000,82.2500,70.0000,55.0000,75.0000,65.0000,55.0000,85.0000,67.5000,10.7044,62.1478,73.3333,23.3333,2.2779,68.3333,18.3333,0.5000,3,1007.06,35.3499,69.3196,0,0
4000000,88.0000,77.0000,79.7500,75.0000,55.0000,75.0000,55.0000,60.0000,85.0000,67.5000,11.4564,61.7718,46.6667,3.3333,2.2779,50.0000,0.0000,0.5000,4,1151.23,50.0593,66.4955,0,0
4500000,76.0000,77.0000,76.7500,75.0000,45.0000,70.0000,50.0000,55.0000,70.0000,60.8333,11.3346,55.1661,60.0000,10.0000,2.2769,53.3333,3.3333,0.5000,4,1294.97,59.7865,61.7458,0,0
5000000,88.0000,79.0000,81.2500,70.0000,60.0000,55.0000,50.0000,50.0000,85.0000,61.6667,12.4722,55.4306,63.3333,13.3333,2.2668,51.6667,1.6667,0.5000,5,1439.02,47.9241,58.6650,0,0
5500000,80.0000,61.0000,65.7500,75.0000,65.0000,75.0000,50.0000,60.0000,95.0000,70.0000,14.1421,62.9289,40.0000,10.0000,2.2565,55.0000,5.0000,0.5000,5,1582.92,23.2503,89.6021,0,0
6000000,84.0000,75.0000,77.2500,65.0000,35.0000,60.0000,55.0000,55.0000,75.0000,57.5000,12.1621,51.4190,46.6667,3.3333,2.2626,51.6667,1.6667,0.5000,6,1727.80,27.8766,61.6175,0,0
6500000,82.0000,79.0000,79.7500,65.0000,50.0000,65.0000,45.0000,55.0000,85.0000,60.8333,13.0437,54.3115,70.0000,20.0000,2.2620,50.0000,0.0000,0.5000,6,1872.00,37.3665,81.1297,0,0
7000000,86.0000,79.0000,80.7500,65.0000,50.0000,70.0000,70.0000,50.0000,85.0000,65.0000,12.2474,58.8763,66.6667,16.6667,2.2539,55.0000,5.0000,0.5000,7,2016.63,73.9027,60.8472,0,0
7500000,86.0000,82.0000,83.0000,70.0000,45.0000,70.0000,60.0000,60.0000,80.0000,64.1667,10.9608,58.6863,63.3333,13.3333,2.2537,43.3333,6.6667,0.5000,7,2160.70,38.1969,69.0629,0,0
8000000,92.0000,73.0000,77.7500,75.0000,55.0000,70.0000,75.0000,55.0000,80.0000,68.3333,9.8601,63.4033,73.3333,23.3333,2.2642,60.0000,10.0000,0.5000,8,2305.56,65.0059,51.8614,1,0
8500000,88.0000,84.0000,85.0000,80.0000,60.0000,60.0000,55.0000,55.0000,75.0000,64.1667,9.7539,59.2897,63.3333,13.3333,2.2457,38.3333,11.6667,0.5000,8,2449.63,30.3677,77.9204,1,1
9000000,84.0000,65.0000,69.7500,70.0000,55.0000,75.0000,55.0000,50.0000,85.0000,65.0000,12.5831,58.7085,56.6667,6.6667,2.2472,41.6667,8.3333,0.5000,9,2593.98,49.5848,62.3877,1,2
9500000,84.0000,84.0000,84.0000,55.0000,55.0000,45.0000,55.0000,70.0000,90.0000,61.6667,14.6249,54.3542,40.0000,10.0000,2.2432,51.6667,1.6667,0.5000,9,2738.13,16.3701,84.3389,1,3
10000000,92.0000,71.0000,76.2500,60.0000,45.0000,65.0000,60.0000,55.0000,85.0000,61.6667,12.1335,55.5999,63.3333,13.3333,2.2508,43.3333,6.6667,0.5000,9,2883.13,6.2871,86.7779,0,3
10500000,80.0000,78.0000,78.5000,65.0000,70.0000,65.0000,65.0000,70.0000,80.0000,69.1667,5.3359,66.4987,53.3333,3.3333,2.2379,43.3333,6.6667,0.5000,9,3028.57,38.7900,39.0244,1,4
11000000,76.0000,73.0000,73.7500,70.0000,45.0000,70.0000,65.0000,65.0000,90.0000,67.5000,13.1498,60.9251,60.0000,10.0000,2.2342,56.6667,6.6667,0.5000,9,3174.94,59.4306,55.5841,1,5
11500000,76.0000,79.0000,78.2500,70.0000,60.0000,60.0000,60.0000,65.0000,90.0000,67.5000,10.7044,62.1478,50.0000,0.0000,2.2330,51.6667,1.6667,0.5000,9,3320.19,59.6679,67.3941,1,0
12000000,88.0000,78.0000,80.5000,80.0000,45.0000,60.0000,50.0000,50.0000,95.0000,63.3333,18.1812,54.2427,60.0000,10.0000,2.2297,46.6667,3.3333,0.5000,9,3467.18,56.2278,59.9487,1,1
12500000,94.0000,52.0000,62.5000,75.0000,50.0000,75.0000,70.0000,55.0000,80.0000,67.5000,11.0868,61.9566,60.0000,10.0000,2.2271,40.0000,10.0000,0.5000,9,3614.10,49.2289,65.0834,1,2
13000000,92.0000,79.0000,82.2500,75.0000,55.0000,70.0000,60.0000,65.0000,90.0000,69.1667,11.3346,63.4994,53.3333,3.3333,2.2227,40.0000,10.0000,0.5000,9,3761.27,44.6026,44.5443,1,3
13500000,78.0000,69.0000,71.2500,75.0000,45.0000,40.0000,50.0000,50.0000,85.0000,57.5000,16.5202,49.2399,56.6667,6.6667,2.2246,43.3333,6.6667,0.5000,9,3908.85,17.7936,40.8216,1,4
14000000,76.0000,67.0000,69.2500,60.0000,45.0000,50.0000,55.0000,60.0000,85.0000,59.1667,12.7203,52.8065,66.6667,16.6667,2.2335,41.6667,8.3333,0.5000,9,4056.01,26.9276,49.2940,1,5
14500000,92.0000,76.0000,80.0000,75.0000,60.0000,55.0000,60.0000,60.0000,85.0000,65.8333,10.5738,60.5464,70.0000,20.0000,2.2278,41.6667,8.3333,0.5000,9,4204.06,54.6856,62.3877,1,6
15000000,80.0000,76.0000,77.0000,80.0000,50.0000,60.0000,60.0000,55.0000,85.0000,65.0000,12.9099,58.5450,60.0000,10.0000,2.2201,51.6667,1.6667,0.5000,9,4352.23,11.6251,59.6919,0,6
15500000,94.0000,64.0000,71.5000,75.0000,55.0000,65.0000,75.0000,65.0000,70.0000,67.5000,6.9222,64.0389,66.6667,16.6667,2.2106,46.6667,3.3333,0.5000,9,4499.02,21.7082,84.2105,1,7
16000000,86.0000,79.0000,80.7500,80.0000,55.0000,50.0000,70.0000,45.0000,85.0000,64.1667,15.1153,56.6090,53.3333,3.3333,2.2253,50.0000,0.0000,0.5000,9,4646.79,53.7367,76.5083,1,0
16500000,90.0000,84.0000,85.5000,65.0000,55.0000,70.0000,75.0000,65.0000,85.0000,69.1667,9.3169,64.5082,56.6667,6.6667,2.2241,50.0000,0.0000,0.5000,9,4793.62,82.3250,50.3209,1,1
17000000,80.0000,80.0000,80.0000,75.0000,70.0000,70.0000,65.0000,75.0000,90.0000,74.1667,7.8617,70.2358,60.0000,10.0000,2.2312,43.3333,6.6667,0.5000,9,4941.31,55.5160,66.1104,1,2
17500000,88.0000,80.0000,82.0000,75.0000,40.0000,80.0000,50.0000,60.0000,85.0000,65.0000,16.3299,56.8350,63.3333,13.3333,2.2203,45.0000,5.0000,0.5000,9,5088.90,42.4674,20.9243,1,3
18000000,80.0000,75.0000,76.2500,75.0000,65.0000,70.0000,60.0000,65.0000,80.0000,69.1667,6.7185,65.8074,53.3333,3.3333,2.2123,43.3333,6.6667,0.5000,9,5236.82,74.1400,56.8678,1,4
18500000,88.0000,83.0000,84.2500,75.0000,45.0000,65.0000,70.0000,65.0000,85.0000,67.5000,12.1621,61.4190,63.3333,13.3333,2.2141,48.3333,1.6667,0.5000,9,5384.77,70.1068,22.0796,1,5
19000000,84.0000,76.0000,78.0000,65.0000,45.0000,60.0000,55.0000,45.0000,75.0000,57.5000,10.7044,52.1478,53.3333,3.3333,2.2046,55.0000,5.0000,0.5000,9,5533.30,70.4626,61.8742,1,6
19500000,86.0000,79.0000,80.7500,75.0000,50.0000,55.0000,50.0000,45.0000,75.0000,58.3333,12.1335,52.2666,53.3333,3.3333,2.2086,43.3333,6.6667,0.5000,9,5680.97,46.9751,29.6534,1,7
20000000,80.0000,83.0000,82.2500,85.0000,35.0000,40.0000,60.0000,45.0000,85.0000,58.3333,20.3443,48.1612,70.0000,20.0000,2.2157,40.0000,10.0000,0.5000,9,5829.11,57.6512,47.2401,1,8
